Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
26.08.2023,Anderson K.,0,4,5,,,,13,4,58%,64% (28/44),56% (18/32),57% (4/7),27% (13/49),43% (9/21),20% (1/5),4,61% (46/76),31% (22/70),47% (68/146),3,73% (8/11),9% (1/11),41% (9/22),[],"['3', '3']",[],[],[],2.15
26.08.2023,Machac T.,2,6,7,,,,3,1,70%,73% (36/49),57% (12/21),80% (4/5),36% (16/44),44% (14/32),43% (3/7),6,69% (48/70),39% (30/76),53% (78/146),5,91% (10/11),27% (3/11),59% (13/22),"['5', '4']","['1', '0', '6', '5']",[],[],[],1.70
23.08.2023,Anderson K.,2,6,7,,,,12,2,63%,85% (35/41),54% (13/24),100% (3/3),27% (9/33),39% (9/23),50% (2/4),5,74% (48/65),32% (18/56),55% (66/121),3,100% (11/11),20% (2/10),62% (13/21),"['4', '2']","['6', '5']",[],[],[],1.31
23.08.2023,Krutykh O.,0,3,5,,,,1,3,59%,73% (24/33),61% (14/23),50% (2/4),15% (6/41),46% (11/24),0% (0/3),4,68% (38/56),26% (17/65),45% (55/121),1,80% (8/10),0% (0/11),38% (8/21),[],[],[],[],[],3.44
ATP - SINGLES :  Washington (USA),hard,header
02.08.2023,Anderson K.,1,4,7^7,1,,,15,7,63%,73% (44/60),40% (14/35),73% (11/15),20% (11/54),44% (14/32),33% (1/3),38,18,52% (14/27),6,61% (58/95),29% (25/86),46% (83/181),3,71% (10/14),7% (1/15),38% (11/29),[],"['5', '5']",[],[],[],2.47
02.08.2023,Thompson J.,2,6,6^1,6,,,15,1,63%,80% (43/54),56% (18/32),67% (2/3),27% (16/60),60% (21/35),27% (4/15),31,1,77% (10/13),8,71% (61/86),39% (37/95),54% (98/181),5,93% (14/15),29% (4/14),62% (18/29),"['2', '1']","['4', '3']","['2', '0', '4', '0']",[],[],1.55
ATP - SINGLES :  Newport (USA),grass,header
21.07.2023,Anderson K.,0,2,4,,,,7,3,65%,67% (28/42),26% (6/23),60% (6/10),33% (13/39),44% (12/27),17% (1/6),6,52% (34/65),38% (25/66),45% (59/131),2,56% (5/9),11% (1/9),33% (6/18),[],"['3', '3']",[],[],[],2.27
21.07.2023,Humbert U.,2,6,6,,,,5,2,59%,67% (26/39),56% (15/27),83% (5/6),33% (14/42),74% (17/23),40% (4/10),6,62% (41/66),48% (31/65),55% (72/131),5,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '5', '2']","['1', '0', '4', '3']",[],[],[],1.64
19.07.2023,Anderson K.,2,6,7^8,,,,11,3,68%,79% (46/58),56% (15/27),100% (7/7),22% (10/45),50% (15/30),14% (1/7),6,72% (61/85),33% (25/75),54% (86/160),3,100% (11/11),10% (1/10),57% (12/21),"['5', '3']",[],[],[],[],1.82
19.07.2023,Brouwer G.,0,3,6^6,,,,3,6,60%,78% (35/45),50% (15/30),86% (6/7),21% (12/58),44% (12/27),0% (0/7),5,67% (50/75),28% (24/85),46% (74/160),1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.02
