Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Veigy-Foncenex (France),hard,header



CHALLENGER MEN - SINGLES :  Quimper (France) - Qualification,hard,header



22.01. 18:20,Villard N.,0,4,2,,,,1,4,72%,61% (28/46),39% (7/18),56% (5/9),36% (12/33),30% (8/27),25% (1/4),6,55% (35/64),33% (20/60),44% (55/124),2,56% (5/9),11% (1/9),33% (6/18),"['4', '4']",[],[],[],[],14.40



22.01. 18:20,Lamasine T.,2,6,6,,,,2,1,55%,64% (21/33),70% (19/27),75% (3/4),39% (18/46),61% (11/18),44% (4/9),7,67% (40/60),45% (29/64),56% (69/124),5,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '5', '4']","['2', '1', '4', '1']",[],[],[],0



ITF MEN - SINGLES :  M15 Bressuire (France),hard,header



CHALLENGER MEN - SINGLES :  Brest (France) - Qualification,hard,header



22.10.2023,Villard N.,0,6^5,1,,,,3,3,68%,71% (30/42),35% (7/20),67% (4/6),8% (3/38),23% (3/13),0% (0/0),4,60% (37/62),12% (6/51),38% (43/113),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],0



22.10.2023,Diallo G.,2,7^7,6,,,,8,0,75%,92% (35/38),77% (10/13),0% (0/0),29% (12/42),65% (13/20),33% (2/6),8,88% (45/51),40% (25/62),62% (70/113),7,100% (10/10),22% (2/9),63% (12/19),[],"['2', '0', '4', '0']",[],[],[],13.90



ITF MEN - SINGLES :  M25 Carnac (France),clay,header



