Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Guadalajara (Mexico),hard,header
12.09. 00:40,Azarenka V.,0,2,0,,,,1,5,57%,35% (6/17),31% (4/13),0% (0/4),31% (8/26),46% (6/13),0% (0/5),5,33% (10/30),36% (14/39),35% (24/69),1,33% (2/6),0% (0/5),18% (2/11),[],[],[],[],[],1.31
12.09. 00:40,Rakhimova K.,1,6,3,,,,1,0,67%,69% (18/26),54% (7/13),100% (5/5),65% (11/17),69% (9/13),100% (4/4),8,64% (25/39),67% (20/30),65% (45/69),6,100% (5/5),67% (4/6),82% (9/11),"['2', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],3.53
WTA - SINGLES :  US Open (USA),hard,header
30.08. 22:25,Azarenka V.,1,4,6,1,,,1,1,63%,61% (30/49),41% (12/29),54% (7/13),30% (13/44),54% (21/39),67% (4/6),26,32,42% (13/31),7,54% (42/78),41% (34/83),47% (76/161),4,54% (7/13),31% (4/13),42% (11/26),4139,"['3', '1']","['1', '1', '3', '1']","['1', '4']",[],[],1.29
30.08. 22:25,Wang Y.,2,6,3,6,,,2,3,53%,70% (31/44),46% (18/39),33% (2/6),39% (19/49),59% (17/29),46% (6/13),21,17,68% (13/19),9,59% (49/83),46% (36/78),53% (85/161),4,69% (9/13),46% (6/13),58% (15/26),4600,"['2', '3', '5', '4']","['1', '0']","['2', '0', '4', '0', '5', '1']",[],[],3.66
29.08. 04:35,Azarenka V.,2,6,6,,,,3,3,53%,65% (20/31),68% (19/28),86% (6/7),50% (16/32),50% (10/20),50% (4/8),13,18,45% (9/20),10,66% (39/59),50% (26/52),59% (65/111),5,89% (8/9),50% (4/8),71% (12/17),1641,"['2', '0', '4', '0']","['2', '3', '4', '3']",[],[],[],1.23
29.08. 04:35,Burel C.,0,1,4,,,,0,5,62%,50% (16/32),50% (10/20),50% (4/8),35% (11/31),32% (9/28),14% (1/7),18,31,50% (5/10),7,50% (26/52),34% (20/59),41% (46/111),2,50% (4/8),11% (1/9),29% (5/17),1992,[],"['3', '1']",[],[],[],4.34
27.08. 04:30,Azarenka V.,2,3,6,6,,,1,10,67%,66% (31/47),39% (9/23),50% (3/6),41% (26/63),75% (27/36),50% (7/14),27,25,67% (8/12),6,57% (40/70),54% (52/97),55% (92/167),6,73% (8/11),58% (7/12),65% (15/23),"['1', '4', '3', '4']","['3', '1', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],1.23
27.08. 04:30,Starodubtseva Y.,1,6,1,1,,,1,3,64%,59% (37/63),25% (9/36),50% (7/14),34% (16/47),61% (14/23),50% (3/6),27,30,47% (7/15),4,46% (45/97),43% (30/70),45% (75/167),4,42% (5/12),27% (3/11),35% (8/23),"['2', '0', '4', '0', '5', '3']",[],[],[],[],4.34
WTA - SINGLES :  Toronto (Canada),hard,header
10.08. 01:45,Azarenka V.,0,4,2,,,,5,4,62%,69% (18/26),25% (4/16),20% (1/5),33% (13/39),56% (10/18),29% (2/7),5,52% (22/42),40% (23/57),45% (45/99),2,50% (4/8),25% (2/8),38% (6/16),"['1', '2']","['1', '0']",[],[],[],1.37
10.08. 01:45,Stearns P.,1,6,4,,,,3,4,68%,67% (26/39),44% (8/18),71% (5/7),31% (8/26),69% (11/16),80% (4/5),5,60% (34/57),48% (20/42),55% (54/99),2,75% (6/8),50% (4/8),63% (10/16),"['2', '0', '6', '4']","['1', '1', '4', '2']",[],[],[],3.12
09.08. 05:05,Azarenka V.,2,3,7,6,,,4,12,58%,63% (35/56),44% (18/41),57% (8/14),42% (30/72),65% (31/48),47% (8/17),7,55% (53/97),51% (61/120),53% (114/217),4,57% (8/14),57% (8/14),57% (16/28),"['1', '0']","['1', '1', '3', '3', '5', '3', '7', '5']","['2', '0', '3', '1', '5', '1']",[],[],1.18
09.08. 05:05,Minnen G.,1,6,5,1,,,4,6,60%,58% (42/72),35% (17/48),53% (9/17),38% (21/56),56% (23/41),43% (6/14),6,49% (59/120),45% (44/97),47% (103/217),4,43% (6/14),43% (6/14),43% (12/28),"['2', '2', '5', '3']","['1', '0', '2', '1', '4', '5']","['1', '2']",[],[],5.05
07.08. 01:05,Azarenka V.,2,6,6,,,,2,3,44%,94% (17/18),65% (15/23),0% (0/0),36% (13/36),64% (16/25),44% (4/9),6,78% (32/41),47% (28/59),60% (60/100),3,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '4', '1']","['1', '0', '4', '1']",[],[],[],1.34
07.08. 01:05,Pavlyuchenkova A.,0,2,2,,,,7,3,59%,64% (23/36),36% (9/25),56% (5/9),6% (1/18),35% (8/23),0% (0/0),4,53% (31/59),22% (9/41),40% (40/100),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.37
WTA - SINGLES :  Washington (USA),hard,header
03.08. 05:55,Azarenka V.,0,4,4,,,,1,3,69%,71% (35/49),18% (4/22),56% (5/9),23% (9/39),58% (19/33),33% (2/6),4,55% (39/71),39% (28/72),47% (67/143),3,60% (6/10),20% (2/10),40% (8/20),"['3', '4']","['2', '3']",[],[],[],3.38
03.08. 05:55,Sabalenka A.,2,6,6,,,,8,5,54%,77% (30/39),42% (14/33),67% (4/6),29% (14/49),82% (18/22),44% (4/9),6,61% (44/72),45% (32/71),53% (76/143),5,80% (8/10),40% (4/10),60% (12/20),"['4', '2', '6', '4']","['2', '0', '6', '4']",[],[],[],1.33
01.08. 22:40,Azarenka V.,2,6,6^5,6,,,6,8,59%,67% (37/55),44% (17/39),64% (7/11),44% (26/59),59% (22/37),40% (6/15),6,57% (54/94),50% (48/96),54% (102/190),5,73% (11/15),54% (7/13),64% (18/28),"['2', '0', '4', '0']","['1', '0', '6', '5']","['1', '1', '2', '2', '5', '3']",[],[],1.25
01.08. 22:40,Wang Y.,1,1,7^7,3,,,4,4,61%,56% (33/59),41% (15/37),60% (9/15),33% (18/55),56% (22/39),36% (4/11),6,50% (48/96),43% (40/94),46% (88/190),3,46% (6/13),27% (4/15),36% (10/28),[],"['4', '4', '6', '6']","['1', '0', '2', '1']",[],[],4.04
31.07. 00:40,Azarenka V.,2,7^8,7^7,,,,2,3,61%,71% (41/58),46% (17/37),75% (6/8),22% (10/45),54% (19/35),50% (2/4),6,61% (58/95),36% (29/80),50% (87/175),3,83% (10/12),17% (2/12),50% (12/24),"['3', '4']","['3', '1']",[],[],[],1.26
31.07. 00:40,Baptiste H.,0,6^6,6^3,,,,6,8,56%,78% (35/45),46% (16/35),50% (2/4),29% (17/58),54% (20/37),25% (2/8),6,64% (51/80),39% (37/95),50% (88/175),2,83% (10/12),17% (2/12),50% (12/24),"['4', '2']","['2', '3']",[],[],[],4.01
WTA - SINGLES :  Berlin (Germany),grass,header
22.06. 18:55,Azarenka V.,1,1,7^7,1,,,4,3,61%,69% (35/51),36% (12/33),58% (7/12),33% (22/67),40% (12/30),50% (1/2),5,56% (47/84),35% (34/97),45% (81/181),3,58% (7/12),7% (1/14),31% (8/26),[],"['3', '1']",[],[],[],1.63
22.06. 18:55,Kalinskaya A.,2,6,6^3,6,,,3,5,69%,67% (45/67),60% (18/30),50% (1/2),31% (16/51),64% (21/33),42% (5/12),5,65% (63/97),44% (37/84),55% (100/181),5,93% (13/14),42% (5/12),69% (18/26),"['2', '0', '4', '0']","['4', '5']","['3', '1', '5', '1']",[],[],2.32
21.06. 14:45,Azarenka V.,0,3,,,,,1,1,50%,75% (6/8),50% (4/8),100% (1/1),20% (1/5),75% (6/8),50% (1/2),7,63% (10/16),54% (7/13),59% (17/29),3,100% (2/2),50% (1/2),75% (3/4),"['2', '1']",[],[],[],[],3.13
21.06. 14:45,Rybakina E.,0,1,,,,,2,2,38%,80% (4/5),25% (2/8),50% (1/2),25% (2/8),50% (4/8),0% (0/1),3,46% (6/13),38% (6/16),41% (12/29),1,50% (1/2),0% (0/2),25% (1/4),[],[],[],[],[],1.38
19.06. 15:40,Azarenka V.,2,6,6,,,,1,4,70%,63% (29/46),50% (10/20),71% (5/7),54% (20/37),52% (13/25),50% (5/10),8,59% (39/66),53% (33/62),56% (72/128),6,78% (7/9),56% (5/9),67% (12/18),"['5', '3']","['1', '0', '3', '0', '4', '1', '6', '3']",[],[],[],1.07
19.06. 15:40,Sonmez Z.,0,3,3,,,,1,2,60%,46% (17/37),48% (12/25),50% (5/10),37% (17/46),50% (10/20),29% (2/7),5,47% (29/62),41% (27/66),44% (56/128),2,44% (4/9),22% (2/9),33% (6/18),[],"['1', '3', '2', '4']",[],[],[],8.98
18.06. 19:30,Azarenka V.,2,6,6,,,,3,4,58%,80% (28/35),56% (14/25),100% (2/2),29% (10/34),62% (21/34),33% (3/9),7,70% (42/60),46% (31/68),57% (73/128),5,100% (9/9),33% (3/9),67% (12/18),"['4', '3']","['1', '0', '3', '0']",[],[],[],1.74
18.06. 19:30,Sakkari M.,0,4,2,,,,7,7,50%,71% (24/34),38% (13/34),67% (6/9),20% (7/35),44% (11/25),0% (0/2),4,54% (37/68),30% (18/60),43% (55/128),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.12
WTA - SINGLES :  French Open (France),clay,header
31.05. 01:55,Azarenka V.,1,3,6,5,,,0,1,69%,55% (36/66),34% (10/29),23% (3/13),39% (19/49),64% (32/50),53% (9/17),40,42,57% (27/47),9,46% (44/95),51% (48/95),48% (92/190),5,33% (5/15),60% (9/15),47% (14/30),"['1', '1', '2', '2']","['1', '2', '3', '2', '5', '2', '6', '3']","['3', '3', '4', '4', '5', '5']",[],[],1.79
31.05. 01:55,Andreeva M.,2,6,3,7,,,2,3,49%,61% (30/49),36% (18/50),47% (8/17),50% (33/66),66% (19/29),77% (10/13),32,23,56% (9/16),9,49% (47/95),54% (51/95),52% (98/190),4,40% (6/15),67% (10/15),53% (16/30),"['1', '0', '2', '1', '3', '2', '6', '3']","['2', '0', '3', '5']","['1', '0', '4', '3', '5', '4', '6', '5']",[],[],2.03
28.05. 23:45,Azarenka V.,2,6,6,,,,1,4,57%,85% (22/26),55% (11/20),100% (2/2),61% (14/23),67% (8/12),83% (5/6),22,11,100% (12/12),11,72% (33/46),63% (22/35),68% (55/81),9,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.21
28.05. 23:45,Podoroska N.,0,1,0,,,,2,1,66%,39% (9/23),33% (4/12),17% (1/6),15% (4/26),45% (9/20),0% (0/2),10,16,33% (1/3),4,37% (13/35),28% (13/46),32% (26/81),1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],4.54
WTA - SINGLES :  Rome (Italy),clay,header
15.05. 22:35,Azarenka V.,0,4,3,,,,0,9,66%,60% (26/43),27% (6/22),67% (10/15),32% (12/38),59% (17/29),30% (3/10),6,49% (32/65),43% (29/67),46% (61/132),2,44% (4/9),30% (3/10),37% (7/19),"['1', '0', '4', '5']","['3', '4']",[],[],[],2.67
15.05. 22:35,Collins D.,2,6,6,,,,6,8,57%,68% (26/38),41% (12/29),70% (7/10),40% (17/43),73% (16/22),33% (5/15),8,57% (38/67),51% (33/65),54% (71/132),5,70% (7/10),56% (5/9),63% (12/19),"['2', '2', '4', '2', '6', '4']","['3', '1', '5', '3']",[],[],[],1.49
14.05. 01:40,Azarenka V.,2,6,6,,,,0,1,79%,65% (24/37),60% (6/10),33% (1/3),44% (12/27),71% (20/28),60% (6/10),8,64% (30/47),58% (32/55),61% (62/102),4,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '4', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],2.78
14.05. 01:40,Sakkari M.,0,4,1,,,,2,1,49%,56% (15/27),29% (8/28),40% (4/10),35% (13/37),40% (4/10),67% (2/3),4,42% (23/55),36% (17/47),39% (40/102),3,33% (3/9),25% (2/8),29% (5/17),"['1', '3', '3', '3']",[],[],[],[],1.46
12.05. 21:00,Azarenka V.,2,6,6^6,6,,,0,4,74%,58% (46/80),36% (10/28),30% (3/10),54% (39/72),63% (19/30),59% (10/17),6,52% (56/108),57% (58/102),54% (114/210),4,53% (8/15),71% (10/14),62% (18/29),"['1', '0', '2', '1', '4', '1', '5', '2']","['1', '4', '2', '5', '4', '5']","['2', '0', '4', '2', '5', '3']",[],[],1.46
12.05. 21:00,Sherif M.,1,2,7^8,3,,,0,2,71%,46% (33/72),37% (11/30),41% (7/17),43% (34/80),64% (18/28),70% (7/10),5,43% (44/102),48% (52/108),46% (96/210),4,29% (4/14),47% (7/15),38% (11/29),"['1', '1', '2', '4']","['2', '0', '4', '0', '5', '1']","['2', '3', '3', '4']",[],[],2.78
10.05. 18:20,Azarenka V.,2,6^5,6,6,,,1,12,57%,69% (44/64),44% (21/48),38% (3/8),35% (18/52),56% (22/39),70% (7/10),9,58% (65/112),44% (40/91),52% (105/203),4,69% (11/16),47% (7/15),58% (18/31),"['2', '1', '3', '2', '5', '4']","['2', '2', '6', '4']","['3', '1', '5', '1']",[],[],1.46
10.05. 18:20,Linette M.,1,7^7,4,3,,,4,7,57%,65% (34/52),44% (17/39),30% (3/10),31% (20/64),56% (27/48),63% (5/8),9,56% (51/91),42% (47/112),48% (98/203),2,53% (8/15),31% (5/16),42% (13/31),"['2', '2', '3', '3', '5', '5']","['2', '1']","['2', '5']",[],[],2.74
WTA - SINGLES :  Madrid (Spain),clay,header
27.04. 14:40,Azarenka V.,0,6^0,3,,,,1,2,71%,55% (30/55),30% (7/23),44% (4/9),41% (30/74),58% (11/19),33% (4/12),6,47% (37/78),44% (41/93),46% (78/171),3,50% (5/10),36% (4/11),43% (9/21),"['2', '2', '5', '5']","['1', '0', '2', '1']",[],[],[],1.36
27.04. 14:40,Sorribes Tormo S.,2,7^7,6,,,,0,0,80%,59% (44/74),42% (8/19),67% (8/12),45% (25/55),70% (16/23),56% (5/9),10,56% (52/93),53% (41/78),54% (93/171),3,64% (7/11),50% (5/10),57% (12/21),"['1', '0', '5', '4']","['1', '1', '2', '2', '5', '3']",[],[],[],3.20
25.04. 14:40,Azarenka V.,2,6,6,,,,2,1,68%,63% (24/38),61% (11/18),71% (5/7),56% (15/27),69% (18/26),75% (6/8),7,63% (35/56),62% (33/53),62% (68/109),4,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '3', '2', '6', '3']","['2', '0', '3', '1', '5', '1']",[],[],[],1.18
25.04. 14:40,Maria T.,0,3,1,,,,4,1,51%,44% (12/27),31% (8/26),25% (2/8),37% (14/38),39% (7/18),29% (2/7),3,38% (20/53),38% (21/56),38% (41/109),2,25% (2/8),25% (2/8),25% (4/16),"['2', '2']","['1', '2']",[],[],[],5.05
WTA - SINGLES :  Charleston (USA),clay,header
05.04. 23:40,Azarenka V.,1,4,6,6^7,,,1,12,62%,63% (45/72),42% (19/45),75% (15/20),37% (26/70),58% (15/26),42% (5/12),7,56% (65/117),43% (41/96),50% (106/213),6,69% (11/16),33% (5/15),52% (16/31),"['3', '3']","['3', '3', '5', '3']","['1', '0', '2', '1']",[],[],2.29
05.04. 23:40,Pegula J.,2,6,3,7^9,,,2,0,73%,63% (44/70),42% (11/26),58% (7/12),38% (27/72),56% (25/45),25% (5/20),7,57% (55/96),44% (52/117),50% (107/213),3,67% (10/15),31% (5/16),48% (15/31),"['3', '2', '4', '3']","['2', '1']","['1', '1', '2', '2']",[],[],1.63
05.04. 00:20,Azarenka V.,2,6^5,6,6,,,4,3,72%,67% (52/78),50% (15/30),75% (6/8),40% (34/85),48% (14/29),22% (4/18),8,62% (67/108),42% (48/114),52% (115/222),3,88% (14/16),27% (4/15),58% (18/31),"['3', '4']","['2', '2', '5', '3']","['2', '1']",[],[],1.59
05.04. 00:20,Townsend T.,1,7^7,3,4,,,12,3,75%,60% (51/85),52% (15/29),78% (14/18),33% (26/78),50% (15/30),25% (2/8),5,58% (66/114),38% (41/108),48% (107/222),3,73% (11/15),13% (2/16),42% (13/31),"['3', '1']","['2', '1']",[],[],[],2.40
04.04. 03:25,Azarenka V.,2,6,6,,,,1,1,81%,67% (28/42),50% (5/10),80% (4/5),45% (10/22),76% (13/17),71% (5/7),9,64% (34/53),59% (23/39),62% (57/92),7,88% (7/8),71% (5/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.66
04.04. 03:25,Cocciaretto E.,0,1,2,,,,0,1,56%,59% (13/22),24% (4/17),29% (2/7),33% (14/42),50% (5/10),20% (1/5),5,41% (16/39),36% (19/53),38% (35/92),2,29% (2/7),13% (1/8),20% (3/15),[],"['2', '2']",[],[],[],2.24
WTA - SINGLES :  Miami (USA),hard,header
